portfolio_set,model,asset,family,decile,n_assets,beta_rate,lambda_rate_full,lambda_rate_leave_one_out,delta_lambda_rate,shanken_se_lambda_rate_full,shanken_se_lambda_rate_leave_one_out,standardized_dfbeta,abs_standardized_dfbeta,reaches_threshold,role
all_seven_families_joint,market_plus_fedfunds_innovation,investment_to_assets__decile_04,investment_to_assets,decile_04,70,-0.09139276548611619,-0.6984645567038997,-0.6981145887187588,-0.0003499679851409754,0.2442575678446596,0.2441132343911496,-0.001432782567308393,0.001432782567308393,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,investment_to_assets__decile_05,investment_to_assets,decile_05,70,-0.31644218561958337,-0.6984645567038997,-0.7053327314309664,0.006868174727066689,0.2442575678446596,0.24848284892154196,0.028118574943948677,0.028118574943948677,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,investment_to_assets__decile_06,investment_to_assets,decile_06,70,-0.07848871708481683,-0.6984645567038997,-0.6984944688718897,2.991216798997609e-05,0.2442575678446596,0.24421806443034721,0.000122461581247707,0.000122461581247707,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,investment_to_assets__decile_07,investment_to_assets,decile_07,70,-0.03280059936751034,-0.6984645567038997,-0.6984407329008414,-2.3823803058320436e-05,0.2442575678446596,0.24423838374331228,-9.753557799065473e-05,9.753557799065473e-05,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,investment_to_assets__decile_08,investment_to_assets,decile_08,70,-0.01152425218175683,-0.6984645567038997,-0.6977537954387351,-0.0007107612651646722,0.2442575678446596,0.2433550966884815,-0.002909884313663087,0.002909884313663087,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,investment_to_assets__decile_09,investment_to_assets,decile_09,70,0.22250219557384313,-0.6984645567038997,-0.7006291698044758,0.0021646131005760294,0.2442575678446596,0.24079329863726018,0.008862010375673017,0.008862010375673017,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,investment_to_assets__decile_10,investment_to_assets,decile_10,70,0.34228783392703743,-0.6984645567038997,-0.6766529918550611,-0.021811564848838616,0.2442575678446596,0.2391058360022791,-0.08929739635625172,0.08929739635625172,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,long_term_reversal__decile_01,long_term_reversal,decile_01,70,-0.10355707708580941,-0.6984645567038997,-0.6976126448386515,-0.0008519118652482449,0.2442575678446596,0.24380684298455685,-0.0034877603701926442,0.0034877603701926442,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,long_term_reversal__decile_02,long_term_reversal,decile_02,70,-0.3720569019026301,-0.6984645567038997,-0.7035165545023228,0.005051997798423025,0.2442575678446596,0.246929276816737,0.02068307583262248,0.02068307583262248,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,long_term_reversal__decile_03,long_term_reversal,decile_03,70,-0.3712525888164007,-0.6984645567038997,-0.6938991408911898,-0.004565415812709972,0.2442575678446596,0.24532174590737807,-0.018690990223948507,0.018690990223948507,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,long_term_reversal__decile_04,long_term_reversal,decile_04,70,-0.22846598513518937,-0.6984645567038997,-0.7002413165165016,0.0017767598126018358,0.2442575678446596,0.24406556718967942,0.007274123902403716,0.007274123902403716,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,long_term_reversal__decile_05,long_term_reversal,decile_05,70,-0.15032059431658618,-0.6984645567038997,-0.6955129678758767,-0.002951588828023044,0.2442575678446596,0.24299009533183558,-0.012083919667537855,0.012083919667537855,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,long_term_reversal__decile_06,long_term_reversal,decile_06,70,-0.06017178443824575,-0.6984645567038997,-0.6983604186537224,-0.00010413805017728262,0.2442575678446596,0.24420970664234268,-0.0004263452350574098,0.0004263452350574098,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,long_term_reversal__decile_07,long_term_reversal,decile_07,70,-0.07932642859369798,-0.6984645567038997,-0.6979178698760093,-0.0005466868278903858,0.2442575678446596,0.24404959008205906,-0.002238157174471098,0.002238157174471098,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,long_term_reversal__decile_08,long_term_reversal,decile_08,70,-0.34249887285688146,-0.6984645567038997,-0.713749577089849,0.015285020385949255,0.2442575678446596,0.2533612449226041,0.06257746902511559,0.06257746902511559,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,long_term_reversal__decile_09,long_term_reversal,decile_09,70,0.04635485591806049,-0.6984645567038997,-0.6963765622582301,-0.0020879944456696498,0.2442575678446596,0.2436453567881633,-0.00854833061711951,0.00854833061711951,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,long_term_reversal__decile_10,long_term_reversal,decile_10,70,0.3247865925383222,-0.6984645567038997,-0.7014020341900109,0.002937477486111173,0.2442575678446596,0.2404538855491264,0.012026147283916785,0.012026147283916785,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,ppe_investment__decile_01,ppe_investment,decile_01,70,-0.19413695787508461,-0.6984645567038997,-0.6951156853000273,-0.003348871403872411,0.2442575678446596,0.24399222296649664,-0.013710410012770582,0.013710410012770582,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,ppe_investment__decile_02,ppe_investment,decile_02,70,-0.12285492678161974,-0.6984645567038997,-0.699155500617158,0.0006909439132583017,0.2442575678446596,0.24411756713905292,0.0028287513027957486,0.0028287513027957486,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,ppe_investment__decile_03,ppe_investment,decile_03,70,-0.054084681728356565,-0.6984645567038997,-0.6985860127078679,0.0001214560039681789,0.2442575678446596,0.244313074821841,0.0004972456126535299,0.0004972456126535299,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,ppe_investment__decile_04,ppe_investment,decile_04,70,-0.28952482012626635,-0.6984645567038997,-0.7080136207201886,0.009549064016288855,0.2442575678446596,0.2504734322526405,0.03909424015210767,0.03909424015210767,False,confirmatory
