asset,test,restricted_parameters,statistic,p_value,df,nobs,holm_p_value,family,significant_holm_5pct,shift_months,boundary_rule,verdict,scope,evidence_class,hypothesis,replication_status
portfolio_excess_return__equity_duration__decile_10,joint_rate_beta_regime_interactions,5.0,2.316695789646215,0.803811624032469,5.0,648.0,1.0,regime_stability,False,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__inventory_growth__decile_01,joint_regime_factor_interactions,10.0,37.916088180297706,3.9249522051743573e-05,10.0,648.0,0.002276472279001127,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__inventory_growth__decile_01,joint_rate_beta_regime_interactions,5.0,31.52904548856484,7.363324697149683e-06,5.0,648.0,0.00048597943001187907,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__inventory_growth__decile_02,joint_regime_factor_interactions,10.0,44.07601179688076,3.1897789427818813e-06,10.0,648.0,0.00022647430493751358,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__inventory_growth__decile_02,joint_rate_beta_regime_interactions,5.0,17.952495985012053,0.0030065333061639007,5.0,648.0,0.11424826563422823,regime_stability,False,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__inventory_growth__decile_03,joint_regime_factor_interactions,10.0,158.86631274950224,5.553375836414464e-29,10.0,648.0,7.663658654251961e-27,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__inventory_growth__decile_03,joint_rate_beta_regime_interactions,5.0,20.836660607498754,0.0008696806463988945,5.0,648.0,0.04080689189453651,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__inventory_growth__decile_04,joint_regime_factor_interactions,10.0,169.61335507051362,3.335495464348179e-31,10.0,648.0,4.6696936500874504e-29,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__inventory_growth__decile_04,joint_rate_beta_regime_interactions,5.0,29.426839316058107,1.9118742482751553e-05,5.0,648.0,0.0011662432914478448,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__inventory_growth__decile_05,joint_regime_factor_interactions,10.0,112.18659690217014,1.9316879684228847e-19,10.0,648.0,2.51119435894975e-17,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
