portfolio_set,model,n_assets,n_months,n_factors,article_cross_sectional_fit,chi_square_statistic,chi_square_degrees_of_freedom,chi_square_asymptotic_p_value,root_mean_squared_pricing_error,mean_absolute_pricing_error,max_absolute_pricing_error,shanken_multiplier,pseudo_inverse_rcond,beta_matrix_rank,lambda_RM,shanken_t_RM,shanken_se_RM,article_constrained_fit,constrained_fit_applicable,mean_pricing_error,replication_status,lambda_FFR_innovation,shanken_t_FFR_innovation,shanken_se_FFR_innovation,lambda_TB_innovation,shanken_t_TB_innovation,shanken_se_TB_innovation,lambda_SMB,shanken_t_SMB,shanken_se_SMB,lambda_HML,shanken_t_HML,shanken_se_HML,lambda_UMD,shanken_t_UMD,shanken_se_UMD,lambda_RMW,shanken_t_RMW,shanken_se_RMW,lambda_CMA,shanken_t_CMA,shanken_se_CMA,lambda_ME,shanken_t_ME,shanken_se_ME,lambda_IA,shanken_t_IA,shanken_se_IA,lambda_ROE,shanken_t_ROE,shanken_se_ROE,lambda_LIQ,shanken_t_LIQ,shanken_se_LIQ
book_to_market,carhart_4,10,504,4,0.9337504023599354,4.158641729098428,6,0.655217626690364,0.04178679233970096,0.03306931417223177,0.07849060256738771,1.0602725671331978,1e-15,4,0.5877744968055731,2.820333571777494,0.20840602072297879,0.8924472670674567,True,0.00018150558766672487,documented_reconstruction,,,,,,,0.5451673244466431,1.009174683237353,0.5402110590981031,0.232835726348611,1.0300753768808941,0.2260375614973402,-0.012044347838301661,-0.007234274462052062,1.6649005925170803,,,,,,,,,,,,,,,,,,
earnings_to_price,carhart_4,10,504,4,0.9286027221110761,2.191820633564552,6,0.9012385102628205,0.04132508117699594,0.036016713818268334,0.07579200838957578,1.3900416481642366,1e-15,4,0.6287054312835506,2.994041569828688,0.20998553848386403,0.889935220622953,True,0.0010970872064500036,documented_reconstruction,,,,,,,0.4127411162604264,0.7414289854898266,0.5566832755907811,0.33140176605385746,1.6125914088081075,0.20550882526330827,2.2388520023402427,1.907546305827014,1.1736816010710638,,,,,,,,,,,,,,,,,,
equity_duration,carhart_4,10,504,4,0.9171172951031553,4.457764392877397,6,0.614979772157221,0.049011815374022195,0.03945322375596088,0.09802250521405353,1.2424647027236975,1e-15,4,0.5998847233132517,2.8812942869576608,0.20819974066122415,0.8523828417971873,True,0.0007866211430178794,documented_reconstruction,,,,,,,-0.20818696068816084,-0.5743699394002095,0.362461449332745,0.49419155038263557,2.664919854148141,0.18544330690222843,1.507943703770386,1.9263613886102213,0.782793775189969,,,,,,,,,,,,,,,,,,
long_term_reversal,carhart_4,10,504,4,0.9060949283444621,2.106841176437492,6,0.9096147077518933,0.04247415204148881,0.036563049014458705,0.0828646935880808,1.5208567860375561,1e-15,4,0.5813781529393209,2.7112550713431727,0.21443137500571002,0.8412426314364105,True,-0.00012186023991416217,documented_reconstruction,,,,,,,0.7330729644021114,1.2807042095062209,0.572398340663493,0.2433904225236112,0.8443317613494583,0.288263966446804,2.6500080338699465,1.3332567988147324,1.987620116564047,,,,,,,,,,,,,,,,,,
investment_to_assets,carhart_4,10,504,4,0.7219706109281068,6.316254199602981,6,0.38871118311267683,0.06383190636854785,0.04786491174901546,0.12206902854574714,1.0701314552476862,1e-15,4,0.6197101970361149,2.993381776875464,0.20702678215772982,0.5893674425128906,True,0.000735193728230904,documented_reconstruction,,,,,,,-0.11820046072615387,-0.4530325144297861,0.260909442393838,0.5213629275416434,2.663236785530703,0.195762889118307,-0.22455912664211258,-0.3184688008945737,0.705121274081887,,,,,,,,,,,,,,,,,,
ppe_investment,carhart_4,10,504,4,0.642985691225946,7.824187447408444,6,0.25126887757436855,0.08232348970741177,0.07420260232594005,0.13321470442277739,1.358081887265103,1e-15,4,0.6247131849507863,3.0125903926740296,0.2073674491128811,0.3453300923207515,True,5.459893024347684e-05,documented_reconstruction,,,,,,,-0.4260587475658588,-1.2775418028532213,0.3334988699503318,0.5600988948533878,1.8194633677064138,0.30783741228021505,1.8846845059416997,1.9751534270545992,0.9541965095603692,,,,,,,,,,,,,,,,,,
inventory_growth,carhart_4,10,504,4,0.6883490304883223,6.246922502961439,6,0.39610586798674335,0.05898761238212378,0.04840527627814576,0.09288110099215663,1.119132355267325,1e-15,4,0.6114648247026566,2.9466180343554833,0.2075141119661283,0.6736101269062782,True,-7.842847538982455e-05,documented_reconstruction,,,,,,,0.1745121417248194,0.5641973755870183,0.3093104457340811,0.4747455740048879,1.5821432628706913,0.30006484567237884,0.7306577682439954,0.9638235946149012,0.7580824668812264,,,,,,,,,,,,,,,,,,
all_seven_families_joint,carhart_4,70,504,4,0.7651204110741773,66.81897242724617,66,0.4486797296722345,0.07203633617555032,0.05597560263307881,0.24270350392650902,1.109916551605536,1e-15,4,0.6074747506204244,2.9314750585044416,0.2072249425619679,0.7662024503618116,True,0.0009488576794202342,documented_reconstruction,,,,,,,0.10348763246145143,0.551814099368177,0.1875407543590205,0.440793670920103,2.863431600106683,0.1539389559379314,0.725009986781496,1.8970335119441246,0.38218090625003703,,,,,,,,,,,,,,,,,,
book_to_market,fama_french_5,10,504,5,0.9698166352500348,1.497448477395075,5,0.913364071641054,0.0282051638413204,0.024431486312504337,0.04172721298035209,1.1497553621785899,1e-15,5,0.6052374228139041,2.869567465921095,0.2109159063174807,0.8399055350725573,True,7.3769274024027e-05,documented_reconstruction,,,,,,,0.5972610500869253,1.025568754838375,0.5823705600128691,0.09490098294900295,0.36911490480346926,0.25710417464591906,,,,-0.7394182678433739,-1.4982778377646808,0.4935121171828391,0.3240953184225618,1.0323579319187328,0.3139369674045131,,,,,,,,,,,,
earnings_to_price,fama_french_5,10,504,5,0.9687702658313502,1.0076345565995142,5,0.9619476459107508,0.02732152468984151,0.019136483262223586,0.058930868402500725,1.6989746300305806,1e-15,5,0.5103191880549824,2.222181785332663,0.22964781343421334,0.7427104477961527,True,-5.8486363664883576e-05,documented_reconstruction,,,,,,,1.9568304336910838,1.965621015850098,0.995527834669995,0.13922168361978893,0.4893641708119281,0.28449504872577697,,,,-0.2285666587585063,-0.5400753381082756,0.42321254578871864,0.7385071257748678,2.4421837155040564,0.3023962206800822,,,,,,,,,,,,
